FFT Gray Avg,FFT Gray Median,FFT Gray SD,FFT Gray Max,FFT Gray Min,FFT Gray Mode,FFT Gray Midpoint,FFT Gray Var,FFT Red Avg,FFT Red Median,FFT Red SD,FFT Red Max,FFT Red Min,FFT Red Mode,FFT Red Midpoint,FFT Red Var,FFT Green Avg,FFT Green Median,FFT Green SD,FFT Green Max,FFT Green Min,FFT Green Mode,FFT Green Midpoint,FFT Green Var,FFT Blue Avg,FFT Blue Median,FFT Blue SD,FFT Blue Max,FFT Blue Min,DCT Gray,DCT Red,DCT Green,Wavelet Gray Avg,Wavelet Gray Median,Wavelet Gray SD,Wavelet Gray Max,Wavelet Gray Min,Wavelet Gray Mode,Wavelet Gray Midpoint,Wavelet Gray Var,Wavelet Red Avg,Wavelet Red Median,Wavelet Red SD,Wavelet Red Max,Wavelet Red Min,Wavelet Red Mode,Wavelet Red Midpoint,Wavelet Red Var,Wavelet Green Avg,Wavelet Green Median,Wavelet Green SD,Wavelet Green Max,Wavelet Green Min,Wavelet Green Mode,Wavelet Green Midpoint,Wavelet Green Var,Wavelet Blue Avg,Wavelet Blue Median,Wavelet Blue SD,Wavelet Blue Max,Wavelet Blue Min
37.00,-131.98,25289.28,5212404.00,-1.48,-1.48,2606201.26,66900000000000000000.00,21.00,-302.65,23706.04,4705177.00,0.61,0.61,2352588.80,46500000000000000000.00,37.00,144.95,24900.03,5076311.00,-1.83,-1.83,2538154.58,60700000000000000000.00,NaN,NaN,NaN,NaN,NaN,23269.66,21005.25,22662.10,3.26,3.04,0.31,6.90,0.38,0.38,3.64,0.59,2.94,2.47,0.35,6.74,0.33,0.90,3.54,0.82,3.17,2.78,0.32,6.95,0.36,0.36,3.66,0.64,NaN,NaN,NaN,NaN,NaN
172.00,-336.64,31121.23,6631458.00,5.62,5.62,3315731.81,177000000000000000000.00,204.00,-63.68,28338.55,5705846.00,-3.35,-3.35,2852921.33,104000000000000000000.00,176.00,358.00,31423.76,6635272.00,-3.81,-3.81,3317634.10,181000000000000000000.00,NaN,NaN,NaN,NaN,NaN,29604.72,25472.53,29621.75,4.15,3.75,0.31,7.96,1.25,1.25,4.60,0.72,3.57,3.38,0.36,7.95,0.53,0.53,4.24,1.79,4.15,3.88,0.39,7.97,1.10,1.10,4.54,1.36,NaN,NaN,NaN,NaN,NaN
27.00,193.06,20364.73,3914563.00,-2.60,-2.60,1957280.20,22200000000000000000.00,20.00,443.13,18740.64,3403519.00,-0.35,-0.35,1701759.33,13500000000000000000.00,26.00,43.24,20686.65,3917779.00,-0.76,-0.76,1958889.12,22400000000000000000.00,NaN,NaN,NaN,NaN,NaN,17475.73,15194.28,17490.08,2.45,2.40,0.18,5.52,0.28,0.28,2.90,0.28,2.13,1.84,0.20,5.66,0.07,0.07,2.86,0.36,2.45,2.22,0.19,5.64,0.26,0.26,2.95,0.34,NaN,NaN,NaN,NaN,NaN
26.00,602.10,23029.87,4782180.00,-0.38,-0.38,2391089.81,47500000000000000000.00,10.00,-51.69,19275.94,3781017.00,-0.27,-0.27,1890508.36,20000000000000000000.00,25.00,-568.25,22361.33,4586119.00,0.44,0.44,2293059.72,40500000000000000000.00,NaN,NaN,NaN,NaN,NaN,21349.02,16879.54,20473.75,2.99,2.98,0.31,6.55,0.24,0.24,3.39,0.57,2.36,2.20,0.30,6.07,0.08,0.47,3.07,0.47,2.87,2.80,0.33,6.67,0.23,0.23,3.45,0.67,NaN,NaN,NaN,NaN,NaN
32.00,-292.82,21785.27,4201323.00,-0.20,-0.20,2100661.40,31900000000000000000.00,25.00,-249.64,18448.52,2985140.00,-1.02,-1.02,1492569.49,11800000000000000000.00,34.00,409.99,21529.96,3893454.00,-2.09,-2.09,1946725.96,25100000000000000000.00,NaN,NaN,NaN,NaN,NaN,18755.91,13326.52,17381.49,2.63,2.55,0.24,7.13,0.15,0.23,3.64,0.55,1.87,1.36,0.61,7.81,0.10,0.10,3.95,3.70,2.43,2.21,0.26,7.13,0.04,0.10,3.58,0.70,NaN,NaN,NaN,NaN,NaN
118.00,-785.86,16489.70,3466186.00,7.22,7.22,1733096.61,13900000000000000000.00,91.00,330.27,8780.19,1608560.00,-2.59,-2.59,804278.70,844000000000000000.00,117.00,533.38,15819.46,3283989.00,-7.22,-7.22,1641990.89,11800000000000000000.00,NaN,NaN,NaN,NaN,NaN,15474.04,7181.07,14660.67,2.17,1.97,0.18,5.54,0.31,0.31,2.92,0.10,1.01,0.73,0.26,3.93,0.03,0.03,1.98,0.14,2.05,1.76,0.28,6.02,0.08,0.08,3.05,0.20,NaN,NaN,NaN,NaN,NaN
112.00,-60.30,18768.88,3863265.00,2.19,2.19,1931633.60,21700000000000000000.00,114.00,325.48,9654.91,1119829.00,-0.36,-0.36,559914.32,309000000000000000.00,114.00,328.84,14808.33,2758778.00,2.49,2.49,1379390.24,5930000000000000000.00,NaN,NaN,NaN,NaN,NaN,17246.72,4999.24,12315.97,2.42,2.52,0.37,7.31,0.15,0.15,3.73,0.62,0.70,0.16,0.71,7.68,0.01,0.02,3.84,3.92,1.72,1.62,0.35,7.20,0.07,0.07,3.64,0.89,NaN,NaN,NaN,NaN,NaN
117.00,120.04,27275.41,5664014.00,-4.04,-4.04,2832004.98,96000000000000000000.00,73.00,294.84,20308.51,3883314.00,-0.85,-0.85,1941656.57,24300000000000000000.00,133.00,374.41,28433.90,5646585.00,-0.65,-0.65,2823292.17,98100000000000000000.00,NaN,NaN,NaN,NaN,NaN,25285.78,17336.22,25207.97,3.54,3.58,0.25,7.33,0.48,0.48,3.90,0.56,2.43,2.15,0.35,6.61,0.13,0.13,3.37,0.91,3.53,3.52,0.20,7.71,0.07,0.07,3.89,0.51,NaN,NaN,NaN,NaN,NaN
51.00,-224.28,9916.76,2068978.00,2.21,2.21,1034490.11,1850000000000000000.00,51.00,-75.78,9155.79,1990947.00,1.16,1.16,995474.08,1420000000000000000.00,49.00,-54.62,8723.58,1875415.00,-0.42,-0.42,937707.29,1160000000000000000.00,NaN,NaN,NaN,NaN,NaN,9236.51,8888.16,8372.39,1.29,1.18,0.14,3.45,0.42,0.56,1.93,0.02,1.24,1.24,0.09,3.17,0.45,0.94,1.81,0.00,1.17,1.14,0.09,2.92,0.43,0.43,1.67,0.00,NaN,NaN,NaN,NaN,NaN
149.00,3.29,20690.84,4234871.00,0.25,0.25,2117435.62,35000000000000000000.00,140.00,57.88,12444.29,1975427.00,0.41,0.41,987713.71,2300000000000000000.00,150.00,-224.39,19688.45,3936012.00,1.01,1.01,1968006.50,26600000000000000000.00,NaN,NaN,NaN,NaN,NaN,18905.67,8818.87,17571.48,2.65,2.70,0.30,6.46,0.35,0.35,3.41,0.49,1.24,0.66,0.41,6.82,0.08,0.15,3.45,0.67,2.46,2.50,0.29,6.45,0.39,0.39,3.42,0.50,NaN,NaN,NaN,NaN,NaN
105.00,-156.58,21365.04,4171184.00,0.29,0.29,2085592.14,37300000000000000000.00,50.00,852.37,16934.58,2943802.00,6.56,6.56,1471904.28,8790000000000000000.00,132.00,377.85,21079.96,4012696.00,-2.43,-2.43,2006346.78,31600000000000000000.00,NaN,NaN,NaN,NaN,NaN,18621.36,13141.97,17913.82,2.61,2.18,0.37,6.84,0.28,0.28,3.56,1.31,1.84,1.31,0.45,7.04,0.04,0.04,3.54,1.71,2.51,1.85,0.41,6.91,0.24,0.24,3.57,1.91,NaN,NaN,NaN,NaN,NaN
80.00,-135.00,26630.25,5283815.00,-0.20,-0.20,2641907.40,80800000000000000000.00,4.00,269.79,18186.16,3022508.00,2.74,2.74,1511255.37,11500000000000000000.00,100.00,459.60,28275.40,5476428.00,-6.57,-6.57,2738210.72,101000000000000000000.00,NaN,NaN,NaN,NaN,NaN,23588.46,13493.34,24448.34,3.30,3.69,0.28,7.19,0.00,0.00,3.59,0.92,1.89,1.28,0.43,7.30,0.00,0.00,3.65,1.85,3.42,3.28,0.30,7.72,0.00,0.00,3.86,1.16,NaN,NaN,NaN,NaN,NaN
