FFT Gray Avg,FFT Gray Median,FFT Gray SD,FFT Gray Max,FFT Gray Min,FFT Gray Mode,FFT Gray Midpoint,FFT Gray Var,FFT Red Avg,FFT Red Median,FFT Red SD,FFT Red Max,FFT Red Min,FFT Red Mode,FFT Red Midpoint,FFT Red Var,FFT Green Avg,FFT Green Median,FFT Green SD,FFT Green Max,FFT Green Min,FFT Green Mode,FFT Green Midpoint,FFT Green Var,FFT Blue Avg,FFT Blue Median,FFT Blue SD,FFT Blue Max,FFT Blue Min,DCT Gray,DCT Red,DCT Green,Wavelet Gray Avg,Wavelet Gray Median,Wavelet Gray SD,Wavelet Gray Max,Wavelet Gray Min,Wavelet Gray Mode,Wavelet Gray Midpoint,Wavelet Gray Var,Wavelet Red Avg,Wavelet Red Median,Wavelet Red SD,Wavelet Red Max,Wavelet Red Min,Wavelet Red Mode,Wavelet Red Midpoint,Wavelet Red Var,Wavelet Green Avg,Wavelet Green Median,Wavelet Green SD,Wavelet Green Max,Wavelet Green Min,Wavelet Green Mode,Wavelet Green Midpoint,Wavelet Green Var,Wavelet Blue Avg,Wavelet Blue Median,Wavelet Blue SD,Wavelet Blue Max,Wavelet Blue Min
36.00,1273.51,86200.62,52900867.00,0.17,0.17,26450433.58,24600000000000000000000.00,25.00,-2941.74,85782.02,51140308.00,0.49,0.49,25570154.24,22200000000000000000000.00,37.00,2982.56,86400.72,53392211.00,1.37,1.37,26696106.18,25400000000000000000000.00,NaN,NaN,NaN,NaN,NaN,71105.63,68739.21,71766.06,2.98,3.23,0.52,7.67,0.31,0.39,3.99,3.25,2.88,2.93,0.54,8.00,0.19,0.38,4.09,3.62,3.01,3.29,0.51,7.70,0.35,0.45,4.03,3.16,NaN,NaN,NaN,NaN,NaN
141.00,1685.93,25608.68,4415969.00,-5.68,-5.68,2207981.66,56000000000000000000.00,129.00,1748.09,22632.76,3670210.00,3.12,3.12,1835106.56,28500000000000000000.00,143.00,534.25,25562.77,4407324.00,-8.32,-8.32,2203657.84,55500000000000000000.00,NaN,NaN,NaN,NaN,NaN,24315.00,20208.74,24267.40,4.15,3.85,0.57,7.69,0.97,0.97,4.33,2.35,3.43,2.96,0.70,7.68,0.56,0.56,4.12,4.55,4.15,3.78,0.59,7.68,0.89,0.89,4.29,2.45,NaN,NaN,NaN,NaN,NaN
171.00,3004.77,238283.45,317735536.00,-0.51,-0.51,158867767.70,2710000000000000000000000.00,226.00,-1175.37,264426.15,345658068.00,-2.27,-2.27,172829032.90,3840000000000000000000000.00,179.00,-4499.08,238567.81,314392167.00,-3.53,-3.53,157196081.70,2630000000000000000000000.00,NaN,NaN,NaN,NaN,NaN,212054.39,230689.69,209823.05,4.45,4.24,0.56,7.83,0.10,7.47,3.97,3.78,4.84,4.23,0.76,7.82,0.10,7.62,3.96,7.63,4.41,3.99,0.58,7.84,0.08,7.53,3.96,4.16,NaN,NaN,NaN,NaN,NaN
67.00,874.01,123683.94,88889888.00,-6.94,-6.94,44444940.53,152000000000000000000000.00,40.00,-1991.15,118054.66,80959288.00,-0.05,-0.05,40479643.98,120000000000000000000000.00,76.00,1491.36,124919.81,90555042.00,-1.44,-1.44,45277520.28,158000000000000000000000.00,NaN,NaN,NaN,NaN,NaN,114216.81,104026.59,116356.41,4.60,4.64,0.29,7.42,0.02,2.13,3.72,0.67,4.19,3.84,0.36,7.43,0.02,1.34,3.73,1.44,4.69,4.61,0.30,7.43,0.02,2.69,3.73,0.58,NaN,NaN,NaN,NaN,NaN
64.00,-447.57,64786.28,24771013.00,-0.35,-0.35,12385506.32,4790000000000000000000.00,30.00,-722.33,59735.03,20055894.00,3.55,3.55,10027948.77,2520000000000000000000.00,71.00,400.20,65957.89,25552872.00,5.05,5.05,12776438.53,5310000000000000000000.00,NaN,NaN,NaN,NaN,NaN,53567.24,43370.81,55258.01,3.63,3.21,0.60,8.00,0.00,0.03,4.00,5.90,2.94,1.77,0.71,8.00,0.00,0.03,4.00,10.15,3.74,3.49,0.61,8.00,0.00,0.03,4.00,6.08,NaN,NaN,NaN,NaN,NaN
95.00,-383.43,71823.88,32432422.00,-1.57,-1.57,16216210.22,6710000000000000000000.00,77.00,-392.31,67789.79,29048385.00,0.98,0.98,14524192.99,4930000000000000000000.00,90.00,380.01,71178.42,31849945.00,0.24,0.24,15924972.62,6350000000000000000000.00,NaN,NaN,NaN,NaN,NaN,64987.92,58207.00,63820.75,4.07,3.58,0.34,7.96,0.46,0.59,4.21,1.02,3.64,2.95,0.50,7.90,0.05,0.05,3.97,3.04,3.99,3.50,0.36,7.99,0.35,0.35,4.17,1.19,NaN,NaN,NaN,NaN,NaN
77.00,1376.84,74124.07,39810391.00,1.91,1.91,19905196.45,10000000000000000000000.00,40.00,-1233.85,61343.82,28828929.00,-6.26,-6.26,14414461.37,3150000000000000000000.00,84.00,1228.82,76292.01,41596523.00,1.81,1.81,20798262.41,11900000000000000000000.00,NaN,NaN,NaN,NaN,NaN,64554.49,46747.51,67450.79,3.27,2.53,0.61,7.98,0.04,0.04,4.01,2.83,2.37,1.70,0.77,7.97,0.01,0.02,3.99,5.73,3.42,2.52,0.58,7.98,0.04,2.23,4.01,2.54,NaN,NaN,NaN,NaN,NaN
104.00,-43.96,68066.44,29623443.00,3.34,3.34,14811723.17,7250000000000000000000.00,83.00,-780.32,58977.05,25124322.00,-2.96,-2.96,12562159.52,3750000000000000000000.00,106.00,-624.05,66835.39,29083883.00,0.84,0.84,14541941.92,6740000000000000000000.00,NaN,NaN,NaN,NaN,NaN,65589.33,55627.82,64394.69,4.54,4.96,0.29,7.90,0.25,1.67,4.08,0.39,3.85,4.01,0.32,7.93,0.25,0.25,4.09,0.48,4.46,4.77,0.29,7.92,0.20,0.20,4.06,0.40,NaN,NaN,NaN,NaN,NaN
8.00,-854.00,34643.62,8296539.00,-6.48,-6.48,4148266.26,137000000000000000000.00,6.00,-1138.78,34767.84,8071931.00,-9.27,-9.27,4035960.86,133000000000000000000.00,8.00,1501.76,34496.64,8263108.00,13.03,13.03,4131560.51,134000000000000000000.00,NaN,NaN,NaN,NaN,NaN,23282.12,22651.81,23188.30,2.04,0.31,0.76,7.82,0.23,0.25,4.03,5.38,1.99,0.25,0.85,7.86,0.16,0.19,4.01,6.84,2.03,0.31,0.76,7.85,0.23,0.25,4.04,5.31,NaN,NaN,NaN,NaN,NaN
68.00,557.69,64631.40,26838789.00,1.09,1.09,13419395.05,4510000000000000000000.00,2.00,-692.54,52362.50,17388876.00,-2.16,-2.16,8694436.92,1200000000000000000000.00,71.00,-610.35,65745.93,27632042.00,3.29,3.29,13816022.65,4990000000000000000000.00,NaN,NaN,NaN,NaN,NaN,55755.26,36123.88,57403.17,3.62,3.72,0.27,8.00,0.11,1.16,4.05,1.27,2.34,1.88,0.46,8.00,0.01,0.03,4.01,3.20,3.73,3.76,0.25,8.00,0.11,0.11,4.06,1.05,NaN,NaN,NaN,NaN,NaN
52.00,1098.00,73203.74,36249023.00,3.01,3.01,18124513.00,9730000000000000000000.00,73.00,-1775.85,62689.81,23569254.00,0.27,0.27,11784627.14,2230000000000000000000.00,52.00,4.09,71428.22,35424790.00,11.17,11.17,17712400.58,8910000000000000000000.00,NaN,NaN,NaN,NaN,NaN,67247.85,43724.81,65718.76,3.90,3.53,0.30,7.75,0.35,0.35,4.05,0.62,2.53,0.66,0.59,7.84,0.00,0.02,3.92,4.57,3.82,3.57,0.30,7.74,0.37,0.42,4.05,0.67,NaN,NaN,NaN,NaN,NaN
152.00,1391.56,225776.33,289858211.00,-0.77,-0.77,144929105.10,2510000000000000000000000.00,237.00,-1544.89,287230.80,366739554.00,1.37,1.37,183369777.70,6610000000000000000000000.00,163.00,1661.78,233310.33,299974408.00,-0.84,-0.84,149987203.60,2890000000000000000000000.00,NaN,NaN,NaN,NaN,NaN,218799.05,276832.82,226435.25,5.18,5.30,0.55,8.00,0.00,5.21,4.00,1.95,6.55,7.58,0.47,8.00,0.00,7.81,4.00,2.76,5.36,5.61,0.53,8.00,0.00,5.55,4.00,1.98,NaN,NaN,NaN,NaN,NaN
64.00,343.49,133629.16,139468118.00,-0.69,-0.69,69734058.65,286000000000000000000000.00,41.00,750.16,114407.95,113940215.00,1.09,1.09,56970108.04,129000000000000000000000.00,61.00,409.44,131905.12,136088750.00,0.06,0.06,68044375.03,262000000000000000000000.00,NaN,NaN,NaN,NaN,NaN,118205.55,96569.49,115341.38,3.14,3.29,0.27,7.90,0.21,0.93,4.06,0.64,2.56,2.23,0.25,7.90,0.03,0.57,3.96,0.61,3.07,3.16,0.29,7.91,0.18,0.29,4.04,0.79,NaN,NaN,NaN,NaN,NaN
17.00,1774.04,213053.82,307963718.00,0.75,0.75,153981859.40,2040000000000000000000000.00,12.00,1067.81,210907.67,293094930.00,0.97,0.97,146547465.50,1830000000000000000000000.00,12.00,-830.51,215111.66,308600910.00,-1.14,-1.14,154300454.40,2070000000000000000000000.00,NaN,NaN,NaN,NaN,NaN,177837.47,169251.30,178205.42,3.22,2.85,0.52,7.87,0.10,0.63,3.99,2.33,3.06,2.31,0.59,8.00,0.16,0.47,4.08,3.32,3.22,2.92,0.52,7.97,0.09,0.50,4.03,2.59,NaN,NaN,NaN,NaN,NaN
34.00,-3034.19,96313.42,60209973.00,-7.16,-7.16,30104982.92,39100000000000000000000.00,43.00,3359.45,87181.87,49210957.00,0.91,0.91,24605478.96,19300000000000000000000.00,35.00,-5311.82,98441.90,63084530.00,-2.67,-2.67,31542263.67,46300000000000000000000.00,NaN,NaN,NaN,NaN,NaN,83116.02,67932.58,87084.17,3.59,2.84,0.51,7.97,0.23,0.23,4.10,3.66,2.93,1.99,0.64,8.00,0.17,0.21,4.08,6.48,3.76,3.00,0.47,7.98,0.09,0.51,4.04,2.93,NaN,NaN,NaN,NaN,NaN
26.00,1046.31,84548.13,52637861.00,-13.67,-13.67,26318923.66,27700000000000000000000.00,7.00,-1672.69,76177.16,37994576.00,3.74,3.74,18997289.87,10700000000000000000000.00,39.00,-1867.02,90300.21,59937341.00,-6.12,-6.12,29968667.44,43500000000000000000000.00,NaN,NaN,NaN,NaN,NaN,71871.03,51877.28,81837.64,3.08,2.61,0.70,7.83,0.11,1.25,3.97,3.43,2.22,0.27,0.91,7.93,0.06,0.13,4.00,6.26,3.50,3.50,0.61,7.83,0.11,1.04,3.97,2.60,NaN,NaN,NaN,NaN,NaN
255.00,818.92,201739.42,165165339.00,3.93,3.93,82582671.47,1400000000000000000000000.00,255.00,986.13,197436.92,160903837.00,2.74,2.74,80451919.87,1260000000000000000000000.00,255.00,-474.28,201957.63,165361188.00,-0.87,-0.87,82680593.57,1410000000000000000000000.00,NaN,NaN,NaN,NaN,NaN,201201.33,196010.05,201439.91,7.69,7.99,0.32,8.00,1.46,8.00,4.73,0.22,7.49,7.99,0.34,8.00,1.33,8.00,4.67,0.38,7.70,7.99,0.33,8.00,1.45,8.00,4.72,0.22,NaN,NaN,NaN,NaN,NaN
24.00,-916.56,83450.07,40186188.00,0.62,0.62,20093094.31,15700000000000000000000.00,10.00,-157.86,84296.04,39417966.00,0.49,0.49,19708983.25,15000000000000000000000.00,22.00,278.11,83575.68,39904509.00,0.10,0.10,19952254.55,15300000000000000000000.00,NaN,NaN,NaN,NaN,NaN,78323.60,76826.32,77774.60,4.77,5.77,0.43,7.77,0.38,0.64,4.08,0.92,4.67,6.05,0.55,7.85,0.09,0.09,3.97,2.40,4.74,5.85,0.47,7.80,0.30,0.30,4.05,1.22,NaN,NaN,NaN,NaN,NaN
126.00,25.30,74258.94,38495084.00,5.70,5.70,19247544.85,14000000000000000000000.00,112.00,2597.98,63102.67,31358255.00,-1.31,-1.31,15679126.84,6400000000000000000000.00,118.00,2605.28,72730.12,37251157.00,0.99,0.99,18625578.99,12400000000000000000000.00,NaN,NaN,NaN,NaN,NaN,69868.18,56914.91,67610.46,3.96,3.86,0.32,8.00,0.13,0.13,4.06,0.83,3.22,2.81,0.37,8.00,0.04,0.04,4.02,1.28,3.83,3.63,0.36,8.00,0.09,0.09,4.05,1.16,NaN,NaN,NaN,NaN,NaN
31.00,944.78,67758.83,22792581.00,-3.24,-3.24,11396288.88,5620000000000000000000.00,10.00,-517.02,63963.10,20992039.00,-3.50,-3.50,10496017.75,4110000000000000000000.00,28.00,-922.80,68874.93,23267565.00,3.15,3.15,11633784.08,6060000000000000000000.00,NaN,NaN,NaN,NaN,NaN,53596.53,49362.57,54713.45,3.93,5.82,0.72,7.81,0.03,0.09,3.92,4.85,3.62,5.10,0.77,7.85,0.01,0.02,3.93,5.20,4.01,6.02,0.74,7.97,0.03,0.04,4.00,5.38,NaN,NaN,NaN,NaN,NaN
55.00,490.60,180829.01,181080416.00,-0.63,-0.63,90540207.69,1070000000000000000000000.00,41.00,-1070.50,162913.13,159493790.00,0.51,0.51,79746895.25,651000000000000000000000.00,56.00,-1347.27,186919.01,187569801.00,0.16,0.16,93784900.58,1230000000000000000000000.00,NaN,NaN,NaN,NaN,NaN,173104.45,152468.64,179308.01,5.19,5.64,0.52,7.99,0.06,5.21,4.02,1.74,4.57,5.05,0.50,7.99,0.02,7.75,4.01,1.89,5.37,5.91,0.54,8.00,0.06,7.78,4.03,1.83,NaN,NaN,NaN,NaN,NaN
49.00,-3128.14,82851.94,49113651.00,0.29,0.29,24556825.65,19100000000000000000000.00,33.00,-1055.85,77716.88,41407736.00,-3.81,-3.81,20703866.09,11800000000000000000000.00,51.00,-1818.04,84233.99,50475509.00,-1.13,-1.13,25237753.93,20900000000000000000000.00,NaN,NaN,NaN,NaN,NaN,68878.83,58071.77,70788.75,3.02,2.15,0.52,7.93,0.06,0.38,4.00,2.84,2.55,1.42,0.65,7.97,0.07,1.06,4.02,5.07,3.11,2.25,0.51,7.93,0.05,0.26,3.99,2.69,NaN,NaN,NaN,NaN,NaN
84.00,-1668.46,114937.45,78489937.00,0.48,0.48,39244968.74,87100000000000000000000.00,88.00,-2164.65,116240.87,78634572.00,1.04,1.04,39317286.52,88400000000000000000000.00,85.00,42.94,115289.55,78670907.00,1.32,1.32,39335454.16,88000000000000000000000.00,NaN,NaN,NaN,NaN,NaN,105021.89,105215.42,105264.04,4.40,3.97,0.57,7.94,0.59,7.94,4.27,2.95,4.40,3.95,0.62,8.00,0.43,8.00,4.21,3.77,4.41,3.96,0.58,8.00,0.60,1.38,4.30,3.06,NaN,NaN,NaN,NaN,NaN
6.00,1610.14,74435.96,40921271.00,1.54,1.54,20460636.27,9220000000000000000000.00,0.00,1512.50,71531.46,36250286.00,-4.20,-4.20,18125140.90,6240000000000000000000.00,10.00,-1681.67,74934.16,41803594.00,-1.29,-1.29,20901796.36,10000000000000000000000.00,NaN,NaN,NaN,NaN,NaN,60335.98,53448.89,61636.91,2.78,2.47,0.46,7.31,0.06,0.06,3.68,1.54,2.46,1.99,0.56,7.51,0.00,0.00,3.76,2.33,2.84,2.52,0.44,7.30,0.08,0.13,3.69,1.49,NaN,NaN,NaN,NaN,NaN
63.00,-2490.95,183254.01,209540128.00,-1.57,-1.57,104770063.20,1190000000000000000000000.00,26.00,1343.56,155480.04,155327126.00,-0.38,-0.38,77663562.81,440000000000000000000000.00,71.00,2114.46,190827.63,221437572.00,-0.14,-0.14,110718785.90,1460000000000000000000000.00,NaN,NaN,NaN,NaN,NaN,172037.68,127527.45,181805.78,4.43,3.91,0.52,7.83,0.27,3.67,4.05,1.87,3.28,2.10,0.73,7.95,0.17,0.69,4.06,5.91,4.68,4.31,0.47,7.81,0.21,4.08,4.01,1.39,NaN,NaN,NaN,NaN,NaN
235.00,-3331.00,202031.34,205071523.00,-1.81,-1.81,102535760.60,1160000000000000000000000.00,214.00,5591.68,199728.03,199651412.00,-4.34,-4.34,99825703.83,1050000000000000000000000.00,240.00,1491.15,201531.98,204204172.00,0.13,0.13,102102086.10,1140000000000000000000000.00,NaN,NaN,NaN,NaN,NaN,193961.50,188835.03,193141.14,5.76,6.59,0.26,7.74,0.21,3.27,3.97,0.77,5.61,6.30,0.31,7.75,0.08,7.25,3.91,1.41,5.73,6.54,0.26,7.71,0.22,7.12,3.97,0.86,NaN,NaN,NaN,NaN,NaN
72.00,-25.96,131537.96,125350865.00,-0.57,-0.57,62675432.22,202000000000000000000000.00,47.00,105.34,120956.98,105157261.00,-0.72,-0.72,52578630.14,107000000000000000000000.00,77.00,424.74,133497.28,128999863.00,0.02,0.02,64499931.51,225000000000000000000000.00,NaN,NaN,NaN,NaN,NaN,117073.78,98213.58,120481.83,3.42,2.78,0.48,8.00,0.56,8.00,4.28,1.95,2.87,2.30,0.52,8.00,0.04,8.00,4.02,3.09,3.52,2.95,0.46,8.00,0.58,8.00,4.29,1.74,NaN,NaN,NaN,NaN,NaN
46.00,-1019.20,60860.61,24160037.00,-1.64,-1.64,12080017.68,4190000000000000000000.00,34.00,199.13,59295.42,22534825.00,3.10,3.10,11267414.05,3360000000000000000000.00,51.00,-746.15,61807.60,24672702.00,4.54,4.54,12336353.27,4530000000000000000000.00,NaN,NaN,NaN,NaN,NaN,50986.88,47557.07,52068.80,3.37,2.54,0.47,7.95,0.28,0.40,4.12,2.61,3.14,2.17,0.54,7.98,0.12,0.12,4.05,3.93,3.44,2.70,0.48,7.99,0.14,0.14,4.07,2.72,NaN,NaN,NaN,NaN,NaN
37.00,-2055.16,137637.72,123429431.00,-1.70,-1.70,61714714.65,215000000000000000000000.00,14.00,1124.47,124653.79,105882682.00,4.90,4.90,52941343.45,123000000000000000000000.00,41.00,1041.85,136645.37,122392779.00,-4.07,-4.07,61196387.46,208000000000000000000000.00,NaN,NaN,NaN,NaN,NaN,125739.10,107864.00,124683.05,4.00,4.45,0.46,8.00,0.00,5.07,4.00,0.71,3.43,3.87,0.53,8.00,0.01,0.50,4.00,1.14,3.97,4.39,0.47,8.00,0.00,1.37,4.00,0.74,NaN,NaN,NaN,NaN,NaN
97.00,2528.09,131010.81,98014206.00,-6.59,-6.59,49007099.71,210000000000000000000000.00,46.00,2819.65,121286.29,85783408.00,-4.85,-4.85,42891701.58,130000000000000000000000.00,110.00,54.53,133203.35,100477102.00,-7.05,-7.05,50238547.48,230000000000000000000000.00,NaN,NaN,NaN,NaN,NaN,123306.36,107919.45,126404.79,4.87,5.55,0.45,8.00,1.03,8.00,4.52,1.22,4.26,5.42,0.59,8.00,0.86,8.00,4.43,3.31,4.99,5.53,0.42,8.00,1.07,8.00,4.53,0.92,NaN,NaN,NaN,NaN,NaN
63.00,-450.20,64950.01,32161552.00,-0.88,-0.88,16080775.56,6640000000000000000000.00,88.00,110.53,67691.89,33464402.00,-0.39,-0.39,16732200.81,8120000000000000000000.00,70.00,-49.21,66290.02,33135692.00,-2.60,-2.60,16567844.70,7460000000000000000000.00,NaN,NaN,NaN,NaN,NaN,60483.33,62933.48,62315.31,3.59,3.78,0.54,7.58,0.37,1.27,3.98,2.54,3.74,3.60,0.42,7.76,0.12,5.08,3.94,1.20,3.69,3.71,0.49,7.56,0.36,1.40,3.96,1.98,NaN,NaN,NaN,NaN,NaN
77.00,-1767.41,126852.95,95277325.00,-3.32,-3.32,47638660.84,157000000000000000000000.00,40.00,2254.14,122856.90,88762182.00,-4.15,-4.15,44381088.93,122000000000000000000000.00,91.00,1685.95,127587.77,96315621.00,-5.88,-5.88,48157807.56,163000000000000000000000.00,NaN,NaN,NaN,NaN,NaN,114388.52,106566.53,115635.08,4.30,5.73,0.43,8.00,0.23,8.00,4.12,1.96,4.00,5.62,0.59,8.00,0.19,8.00,4.09,3.84,4.35,5.74,0.42,8.00,0.23,8.00,4.12,1.86,NaN,NaN,NaN,NaN,NaN
31.00,-1065.61,81499.99,46568509.00,1.98,1.98,23284255.49,18900000000000000000000.00,20.00,1095.00,67163.66,34755195.00,-4.42,-4.42,17377595.29,7470000000000000000000.00,34.00,-1421.55,82006.05,46872084.00,-3.61,-3.61,23436040.19,19500000000000000000000.00,NaN,NaN,NaN,NaN,NaN,68273.46,50954.12,68718.53,3.13,4.07,0.44,6.98,0.23,0.42,3.60,1.95,2.34,2.06,0.47,6.93,0.01,0.01,3.47,2.01,3.15,4.12,0.46,7.01,0.22,0.45,3.61,2.10,NaN,NaN,NaN,NaN,NaN
96.00,-2138.86,366656.06,982951640.00,0.60,0.60,491475820.30,33800000000000000000000000.00,101.00,3526.65,356831.61,950254824.00,1.13,1.13,475127412.60,29700000000000000000000000.00,100.00,2377.85,368484.03,990568079.00,1.63,1.63,495284040.30,34800000000000000000000000.00,NaN,NaN,NaN,NaN,NaN,335510.62,324350.22,338110.34,3.59,3.40,0.21,8.00,0.19,2.14,4.10,0.41,3.47,3.25,0.20,8.00,0.10,1.10,4.05,0.40,3.62,3.45,0.20,8.00,0.23,1.08,4.12,0.37,NaN,NaN,NaN,NaN,NaN
28.00,-1902.76,77571.42,49157374.00,-5.46,-5.46,24578684.27,12900000000000000000000.00,23.00,2882.94,68831.91,40302368.00,-1.98,-1.98,20151183.01,6830000000000000000000.00,29.00,-1540.82,78809.37,50158266.00,-4.85,-4.85,25079130.57,13900000000000000000000.00,NaN,NaN,NaN,NaN,NaN,63817.07,52321.33,65116.45,2.59,2.27,0.34,7.14,0.21,0.35,3.67,1.05,2.13,1.40,0.44,7.37,0.02,0.20,3.69,1.74,2.65,2.27,0.35,7.25,0.23,0.52,3.74,1.13,NaN,NaN,NaN,NaN,NaN
16.00,294.18,43401.52,13603531.00,4.53,4.53,6801767.77,630000000000000000000.00,5.00,1230.14,39064.98,11071055.00,1.59,1.59,5535528.29,357000000000000000000.00,20.00,29.28,43136.78,13885238.00,6.70,6.70,6942622.35,656000000000000000000.00,NaN,NaN,NaN,NaN,NaN,31986.80,26032.04,32649.19,2.35,1.00,0.82,7.79,0.16,0.17,3.97,5.05,1.91,0.50,0.90,7.80,0.07,0.09,3.93,6.35,2.40,1.18,0.78,7.79,0.19,0.20,3.99,4.36,NaN,NaN,NaN,NaN,NaN
76.00,-875.37,65538.31,29940250.00,-0.41,-0.41,14970124.79,6090000000000000000000.00,57.00,-442.60,61201.06,26463147.00,3.73,3.73,13231575.36,3920000000000000000000.00,84.00,-709.18,66777.90,30862016.00,3.20,3.20,15431009.60,6840000000000000000000.00,NaN,NaN,NaN,NaN,NaN,59973.89,53008.84,61820.30,3.75,3.20,0.49,7.66,0.62,0.62,4.14,1.51,3.31,2.56,0.59,7.82,0.32,0.32,4.07,2.87,3.86,3.43,0.47,7.66,0.67,0.67,4.16,1.33,NaN,NaN,NaN,NaN,NaN
33.00,1135.64,109311.67,67297202.00,-3.30,-3.30,33648599.35,69900000000000000000000.00,29.00,1315.50,103386.93,61304992.00,2.25,2.25,30652497.12,49600000000000000000000.00,33.00,-2423.51,109938.34,67996507.00,0.54,0.54,33998253.77,72700000000000000000000.00,NaN,NaN,NaN,NaN,NaN,92952.29,84675.73,93918.19,4.03,4.96,0.45,7.91,0.09,6.27,4.00,1.55,3.67,4.50,0.48,7.93,0.00,1.04,3.96,1.76,4.07,5.26,0.45,8.00,0.02,0.82,4.01,1.59,NaN,NaN,NaN,NaN,NaN
3.00,975.96,131823.22,103406929.00,1.42,1.42,51703465.21,154000000000000000000000.00,7.00,705.74,133238.02,101429082.00,1.99,1.99,50714541.99,147000000000000000000000.00,3.00,1010.31,129021.02,100162085.00,-0.50,-0.50,50081042.25,139000000000000000000000.00,NaN,NaN,NaN,NaN,NaN,99503.36,97600.18,96381.01,3.01,3.18,0.65,6.81,0.00,0.00,3.40,3.53,2.96,2.30,0.72,7.67,0.00,0.00,3.84,5.05,2.92,2.47,0.66,6.84,0.00,0.17,3.42,3.80,NaN,NaN,NaN,NaN,NaN
22.00,-176.53,98566.01,63268337.00,-1.27,-1.27,31634167.87,39400000000000000000000.00,15.00,-457.25,97017.53,60544990.00,3.29,3.29,30272496.64,34100000000000000000000.00,26.00,-1137.12,99503.81,64391246.00,2.04,2.04,32195624.02,41900000000000000000000.00,NaN,NaN,NaN,NaN,NaN,84751.95,81103.85,86256.16,3.56,4.53,0.50,6.93,0.12,0.51,3.53,1.70,3.40,4.20,0.55,7.39,0.11,0.29,3.75,2.05,3.62,4.54,0.47,7.05,0.12,0.32,3.58,1.52,NaN,NaN,NaN,NaN,NaN
59.00,69.38,45132.53,13575660.00,-1.96,-1.96,6787829.02,833000000000000000000.00,55.00,44.85,42965.75,12189620.00,2.71,2.71,6094811.36,575000000000000000000.00,61.00,-284.30,45758.28,13987081.00,-5.27,-5.27,6993537.87,926000000000000000000.00,NaN,NaN,NaN,NaN,NaN,41058.14,36866.21,42302.43,3.86,3.00,0.36,7.91,0.93,0.93,4.42,0.86,3.45,3.02,0.44,7.96,0.10,0.54,4.03,1.85,3.99,3.02,0.35,7.91,1.11,1.11,4.51,0.69,NaN,NaN,NaN,NaN,NaN
37.00,669.33,111906.37,79107991.00,2.34,2.34,39553996.67,71900000000000000000000.00,30.00,1005.50,108183.57,76189848.00,4.80,4.80,38094926.40,61500000000000000000000.00,38.00,1273.34,112936.43,79822371.00,-0.68,-0.68,39911185.16,74700000000000000000000.00,NaN,NaN,NaN,NaN,NaN,98441.46,94810.15,99330.43,3.82,3.13,0.38,8.00,0.12,8.00,4.06,1.37,3.68,3.27,0.44,8.00,0.11,8.00,4.05,1.90,3.85,3.15,0.38,8.00,0.12,8.00,4.06,1.34,NaN,NaN,NaN,NaN,NaN
76.00,1419.04,51134.24,17614478.00,-3.00,-3.00,8807237.50,1870000000000000000000.00,69.00,-453.90,45724.65,13999045.00,1.89,1.89,6999523.44,901000000000000000000.00,77.00,1545.15,51942.56,18157500.00,3.85,3.85,9078751.92,2090000000000000000000.00,NaN,NaN,NaN,NaN,NaN,42587.69,33846.42,43900.59,3.21,2.25,0.61,7.70,0.04,0.04,3.87,4.37,2.54,1.31,0.69,7.79,0.02,0.16,3.91,6.26,3.31,2.50,0.59,7.70,0.03,0.03,3.86,4.03,NaN,NaN,NaN,NaN,NaN
179.00,1612.32,81546.04,44828740.00,-0.47,-0.47,22414369.77,15300000000000000000000.00,184.00,1920.72,83207.51,43710927.00,-1.00,-1.00,21855463.00,14500000000000000000000.00,179.00,1205.09,80671.18,44696776.00,0.10,0.10,22348388.05,15000000000000000000000.00,NaN,NaN,NaN,NaN,NaN,69945.34,68201.24,69739.44,3.41,2.82,0.51,7.13,0.24,0.27,3.69,3.17,3.32,2.66,0.59,7.37,0.17,2.14,3.77,4.85,3.40,2.80,0.51,7.07,0.25,0.79,3.66,2.91,NaN,NaN,NaN,NaN,NaN
41.00,-379.53,61100.04,22432768.00,-0.82,-0.82,11216383.59,4440000000000000000000.00,37.00,-1110.20,60654.62,21792542.00,-1.74,-1.74,10896270.13,3970000000000000000000.00,42.00,1328.12,60742.65,22358746.00,-0.04,-0.04,11179372.98,4370000000000000000000.00,NaN,NaN,NaN,NaN,NaN,56251.10,54645.71,56065.49,4.43,4.60,0.58,7.21,0.50,1.25,3.86,3.42,4.30,4.68,0.57,7.53,0.42,0.88,3.97,3.58,4.42,4.61,0.57,7.18,0.51,1.25,3.84,3.21,NaN,NaN,NaN,NaN,NaN
85.00,414.20,99150.22,60061651.00,0.61,0.61,30030825.80,38400000000000000000000.00,67.00,428.91,99732.75,58226591.00,-0.68,-0.68,29113295.16,34700000000000000000000.00,96.00,903.16,100144.76,61238497.00,0.57,0.57,30619248.79,41300000000000000000000.00,NaN,NaN,NaN,NaN,NaN,90735.75,87963.50,92513.62,4.29,4.89,0.39,8.00,0.44,0.44,4.22,1.25,4.16,4.85,0.48,8.00,0.10,0.13,4.05,2.51,4.38,4.87,0.37,8.00,0.48,7.18,4.24,1.05,NaN,NaN,NaN,NaN,NaN
