FFT Gray Avg,FFT Gray Median,FFT Gray SD,FFT Gray Max,FFT Gray Min,FFT Gray Mode,FFT Gray Midpoint,FFT Red Avg,FFT Red Median,FFT Red SD,FFT Red Max,FFT Red Min,FFT Red Mode,FFT Red Midpoint,FFT Green Avg,FFT Green Median,FFT Green SD,FFT Green Max,FFT Green Min,FFT Green Mode,FFT Green Midpoint,DCT Gray,DCT Red,DCT Green,Wavelet Gray Avg,Wavelet Gray Median,Wavelet Gray SD,Wavelet Gray Max,Wavelet Gray Min,Wavelet Gray Mode,Wavelet Gray Midpoint,Wavelet Red Avg,Wavelet Red Median,Wavelet Red SD,Wavelet Red Max,Wavelet Red Min,Wavelet Red Mode,Wavelet Red Midpoint,Wavelet Green Avg,Wavelet Green Median,Wavelet Green SD,Wavelet Green Max,Wavelet Green Min,Wavelet Green Mode,Wavelet Green Midpoint,Red,Green,Blue,Gray_Average,Gray_Median,Gray_SD,Gray_Max,Gray_Min,Gray_Skewness,Gray_Kurtusis,Gray_IQR,Area_Mean,Area_SD,BoundingBox_Mean,BoundingBox_SD,BoundingBox_Skewness,BoundingBox_Kurtusis,Eccentricity_Mean,Eccentricity_SD,FilledArea_Mean,FilledArea_SD,Area,Entropy,Above_Red,Above_Green,Above_Blue,Below_Red,Below_Green,Below_Blue,Target
122.0,301.97,24868.66,5279199.0,2.15,2.15,2639600.57,58.0,-396.49,11743.73,2034044.0,-1.54,-1.54,1017021.23,149.0,-290.79,27006.17,5724609.0,2.83,2.83,2862305.91,23567.85,9080.55,25556.29,3.3,3.47,0.31,7.04,0.49,1.07,3.76,1.27,1.1,0.29,5.82,0.02,0.02,2.92,3.58,3.82,0.37,7.39,0.54,0.54,3.97,112.47,114.09,40.55,0.04,0.0,0.06,1.0,0.0,1.18,8.02,0.0,6991.0,0.0,199.75,217.68,0.0,1.01,0.36,0.0,7304.0,0.0,160000.0,0.26,51021.0,108979.0,82580.0,77420.0,64176.0,95824.0,0.0
49.0,367.12,24440.17,4742149.0,2.64,2.64,2371075.82,44.0,221.0,20026.86,3446499.0,0.82,0.82,1723249.91,54.0,-390.67,24950.42,4654435.0,1.05,1.05,2327218.02,21170.31,15386.16,20778.73,2.97,2.38,0.3,7.81,0.26,0.26,4.03,2.15,0.8,0.44,7.95,0.04,0.04,3.99,2.91,1.89,0.26,7.81,0.25,0.29,4.03,107.79,92.76,68.69,0.04,0.0,0.04,1.0,0.0,1.93,24.37,0.0,5664.0,0.0,199.5,228.63,0.0,1.0,0.46,0.0,5676.0,0.0,160000.0,0.22,67733.0,92267.0,72697.0,87303.0,66498.0,93502.0,0.0
173.0,-847.58,30856.38,6731914.0,-9.28,-9.28,3365952.36,162.0,894.79,22729.36,4481456.0,7.93,7.93,2240731.96,173.0,-274.65,32008.42,6962108.0,-3.1,-3.1,3481052.45,30053.19,20006.5,31080.84,4.21,4.37,0.17,6.7,1.09,1.8,3.89,2.8,3.29,0.39,6.66,0.05,0.05,3.35,4.35,4.63,0.2,7.1,1.15,1.15,4.12,142.27,138.75,89.32,0.05,0.0,0.04,1.0,0.0,1.02,6.54,0.0,7499.0,0.0,199.75,204.1,0.0,1.07,0.63,0.0,7599.0,0.0,160000.0,0.27,83582.0,76418.0,92871.0,67129.0,84899.0,75101.0,3.0
78.0,-308.69,19493.0,4041617.0,0.74,0.74,2020808.87,34.0,324.19,12771.79,2299181.0,0.64,0.64,1149590.82,89.0,392.86,20213.25,4091969.0,2.25,2.25,2045985.63,18042.93,10264.2,18267.72,2.53,2.47,0.39,6.68,0.09,0.09,3.39,1.44,1.22,0.42,6.91,0.07,0.12,3.49,2.56,2.52,0.37,6.72,0.09,0.09,3.4,91.79,81.56,45.83,0.03,0.0,0.03,1.0,0.0,4.2,110.41,0.0,4562.0,0.0,199.75,215.51,0.0,1.02,0.7,0.0,4612.0,0.0,160000.0,0.19,60349.0,99651.0,94328.0,65672.0,67680.0,92320.0,0.0
164.0,-501.47,28804.95,5794430.0,-1.58,-1.58,2897214.21,187.0,392.58,32849.33,6608569.0,1.78,1.78,3304285.39,167.0,464.83,29379.28,5905786.0,-2.91,-2.91,2952891.55,25867.99,29502.54,26365.12,3.62,5.02,0.6,5.18,0.39,5.04,2.79,4.13,5.72,0.69,5.9,0.4,0.45,3.15,3.69,5.13,0.62,5.28,0.38,0.38,2.83,104.86,117.7,131.71,0.03,0.0,0.03,1.0,0.0,0.44,3.02,0.0,4035.0,0.0,199.75,224.35,0.0,1.0,0.63,0.0,4058.0,0.0,160000.0,0.17,104774.0,55226.0,104610.0,55390.0,104512.0,55488.0,2.0
239.0,58.92,29073.14,5844202.0,6.14,6.14,2922104.07,241.0,-1157.52,20986.28,3758679.0,-11.45,-11.45,1879333.78,239.0,42.65,28398.11,5691181.0,-7.55,-7.55,2845586.73,26090.19,16779.82,25407.06,3.65,3.92,0.44,7.7,0.19,0.19,3.95,2.35,1.88,0.38,7.7,0.18,0.28,3.94,3.56,3.81,0.44,7.7,0.2,0.35,3.95,138.27,113.43,74.92,0.04,0.0,0.07,1.0,0.0,0.43,8.3,0.0,5803.0,0.0,199.75,212.21,0.0,1.0,0.82,0.0,6037.0,0.0,160000.0,0.22,102968.0,57032.0,100059.0,59941.0,61244.0,98756.0,2.0
139.0,631.64,21887.95,4370481.0,3.65,3.65,2185242.33,91.0,744.4,17348.28,3229286.0,-3.79,-3.79,1614641.11,150.0,-96.23,22095.2,4343585.0,4.65,4.65,2171794.83,19511.08,14416.46,19391.0,2.73,1.94,0.33,6.61,0.66,0.66,3.64,2.02,1.42,0.41,6.84,0.53,0.58,3.68,2.72,1.8,0.35,6.64,0.65,0.65,3.64,96.83,86.57,64.36,0.04,0.0,0.06,1.0,0.0,1.32,22.7,0.0,5660.0,0.0,199.75,224.35,0.0,1.0,0.87,0.0,6390.0,0.0,160000.0,0.22,77660.0,82340.0,71656.0,88344.0,59435.0,100565.0,0.0
158.0,-1662.02,86096.76,70663636.0,1.84,1.84,35331818.92,101.0,-1960.5,55287.43,39308528.0,-1.6,-1.6,19654263.2,159.0,-1796.85,91697.88,75932048.0,-5.29,-5.29,37966021.36,76100.93,42333.17,81774.72,2.57,2.5,0.24,7.71,0.13,0.13,3.92,1.43,1.02,0.34,7.37,0.05,0.19,3.71,2.76,2.75,0.24,7.72,0.1,0.29,3.91,83.82,88.07,45.59,0.12,0.0,0.04,1.0,0.0,0.37,3.79,0.0,19066.0,0.0,199.75,228.92,0.0,1.0,0.16,0.0,20507.0,0.0,160000.0,0.53,67172.0,92828.0,68960.0,91040.0,56230.0,103770.0,1.0
98.0,-1302.24,102088.14,70326107.0,-1.68,-1.68,35163052.66,102.0,1194.57,96752.69,65848985.0,-1.81,-1.81,32924491.59,99.0,1250.92,102601.93,70681084.0,1.26,1.26,35340542.63,97825.29,91597.5,98319.07,4.27,4.4,0.3,7.41,0.43,0.52,3.92,4.01,3.9,0.19,7.37,0.36,0.46,3.86,4.3,4.45,0.28,7.35,0.45,0.48,3.9,138.0,136.77,127.41,0.02,0.0,0.06,1.0,0.0,0.8,5.62,0.0,3149.0,0.0,199.75,220.98,0.0,1.01,0.62,0.0,3611.0,0.0,160000.0,0.14,89240.0,70760.0,88952.0,71048.0,76729.0,83271.0,1.0
216.0,415.35,26241.07,5620796.0,15.52,15.52,2810405.76,202.0,763.14,11155.29,1557656.0,9.89,9.89,778832.94,217.0,604.64,28990.71,6271352.0,-4.44,-4.44,3135673.78,25092.84,6953.82,27997.11,3.51,3.76,0.23,7.93,0.43,0.43,4.18,0.97,0.4,0.44,7.84,0.13,0.13,3.99,3.92,4.26,0.26,7.95,0.55,0.55,4.25,117.44,124.99,31.06,0.04,0.0,0.05,1.0,0.0,2.88,62.54,0.0,6220.0,0.0,199.75,228.92,0.0,1.0,0.85,0.0,6384.0,0.0,160000.0,0.24,91200.0,68800.0,84055.0,75945.0,29974.0,130026.0,3.0
