FFT Gray Avg,FFT Gray Median,FFT Gray SD,FFT Gray Max,FFT Gray Min,FFT Gray Mode,FFT Gray Midpoint,FFT Gray Var,FFT Red Avg,FFT Red Median,FFT Red SD,FFT Red Max,FFT Red Min,FFT Red Mode,FFT Red Midpoint,FFT Red Var,FFT Green Avg,FFT Green Median,FFT Green SD,FFT Green Max,FFT Green Min,FFT Green Mode,FFT Green Midpoint,FFT Green Var,DCT Gray,DCT Red,DCT Green,Wavelet Gray Avg,Wavelet Gray Median,Wavelet Gray SD,Wavelet Gray Max,Wavelet Gray Min,Wavelet Gray Mode,Wavelet Gray Midpoint,Wavelet Gray Var,Wavelet Red Avg,Wavelet Red Median,Wavelet Red SD,Wavelet Red Max,Wavelet Red Min,Wavelet Red Mode,Wavelet Red Midpoint,Wavelet Red Var,Wavelet Green Avg,Wavelet Green Median,Wavelet Green SD,Wavelet Green Max,Wavelet Green Min,Wavelet Green Mode,Wavelet Green Midpoint,Wavelet Green Var
37.00000,-131.98067,25289.28413,5212404.00000,-1.48077,-1.48077,2606201.26000,66900000000000000000.00000,21.00000,-302.64726,23706.03950,4705177.00000,0.60663,0.60663,2352588.80300,46500000000000000000.00000,37.00000,144.94551,24900.02792,5076311.00000,-1.83424,-1.83424,2538154.58300,60700000000000000000.00000,23269.66071,21005.25446,22662.10268,3.25906,3.03983,0.30679,6.90196,0.37647,0.37647,3.63922,0.58858,2.94191,2.46912,0.34831,6.74118,0.33088,0.90441,3.53603,0.81636,3.17396,2.78064,0.31812,6.95294,0.35882,0.35882,3.65588,0.64357
172.00000,-336.64408,31121.22552,6631458.00000,5.61901,5.61901,3315731.81000,177000000000000000000.00000,204.00000,-63.67572,28338.55454,5705846.00000,-3.34854,-3.34854,2852921.32600,104000000000000000000.00000,176.00000,357.99627,31423.75687,6635272.00000,-3.80736,-3.80736,3317634.09600,181000000000000000000.00000,29604.72321,25472.52679,29621.75000,4.14632,3.75343,0.30884,7.96029,1.24755,1.24755,4.60392,0.71750,3.56758,3.37659,0.35526,7.95098,0.53235,0.53235,4.24167,1.79437,4.14870,3.88444,0.38589,7.97108,1.10343,1.10343,4.53725,1.35903
27.00000,193.06458,20364.73189,3914563.00000,-2.59771,-2.59771,1957280.20100,22200000000000000000.00000,20.00000,443.12811,18740.63973,3403519.00000,-0.35005,-0.35005,1701759.32500,13500000000000000000.00000,26.00000,43.24116,20686.65455,3917779.00000,-0.76485,-0.76485,1958889.11800,22400000000000000000.00000,17475.72768,15194.28125,17490.08482,2.44758,2.40025,0.18224,5.52108,0.28480,0.28480,2.90294,0.28467,2.12805,1.83885,0.20328,5.65833,0.06814,0.06814,2.86324,0.36427,2.44959,2.22108,0.18857,5.63922,0.25833,0.25833,2.94877,0.33538
26.00000,602.09973,23029.87482,4782180.00000,-0.38107,-0.38107,2391089.80900,47500000000000000000.00000,10.00000,-51.68857,19275.94447,3781017.00000,-0.27207,-0.27207,1890508.36400,20000000000000000000.00000,25.00000,-568.24825,22361.33047,4586119.00000,0.44443,0.44443,2293059.72200,40500000000000000000.00000,21349.01786,16879.54018,20473.74554,2.99006,2.97880,0.31380,6.55000,0.23578,0.23578,3.39289,0.57167,2.36408,2.19877,0.29521,6.06667,0.07843,0.46912,3.07255,0.47221,2.86747,2.79816,0.33230,6.66716,0.23431,0.23431,3.45074,0.66512
32.00000,-292.81867,21785.27238,4201323.00000,-0.19973,-0.19973,2100661.40000,31900000000000000000.00000,25.00000,-249.64127,18448.52400,2985140.00000,-1.02494,-1.02494,1492569.48800,11800000000000000000.00000,34.00000,409.99337,21529.95619,3893454.00000,-2.08609,-2.08609,1946725.95700,25100000000000000000.00000,18755.90625,13326.51786,17381.49107,2.62688,2.54804,0.24346,7.12843,0.14951,0.22794,3.63897,0.55192,1.86646,1.35858,0.60920,7.80931,0.09804,0.09804,3.95368,3.70016,2.43438,2.21299,0.26245,7.12549,0.04412,0.10147,3.58480,0.70024
118.00000,-785.86475,16489.70009,3466186.00000,7.22054,7.22054,1733096.61000,13900000000000000000.00000,91.00000,330.27307,8780.19372,1608560.00000,-2.59497,-2.59497,804278.70250,844000000000000000.00000,117.00000,533.37536,15819.45954,3283989.00000,-7.22162,-7.22162,1641990.88900,11800000000000000000.00000,15474.04464,7181.07143,14660.66518,2.16723,1.96544,0.18479,5.53775,0.30735,0.30735,2.92255,0.09592,1.00575,0.73493,0.26028,3.93235,0.03137,0.03137,1.98186,0.14302,2.05331,1.76103,0.27826,6.01569,0.07892,0.07892,3.04730,0.19838
112.00000,-60.30359,18768.88459,3863265.00000,2.19345,2.19345,1931633.59700,21700000000000000000.00000,114.00000,325.48381,9654.91122,1119829.00000,-0.35726,-0.35726,559914.32140,309000000000000000.00000,114.00000,328.83824,14808.32665,2758778.00000,2.48861,2.48861,1379390.24400,5930000000000000000.00000,17246.71875,4999.23661,12315.97321,2.41551,2.52010,0.36610,7.30539,0.14755,0.14755,3.72647,0.62331,0.70017,0.15564,0.70618,7.68382,0.00539,0.01961,3.84461,3.91515,1.72493,1.61765,0.34975,7.20245,0.07451,0.07451,3.63848,0.89086
117.00000,120.04179,27275.40695,5664014.00000,-4.03794,-4.03794,2832004.98100,96000000000000000000.00000,73.00000,294.83924,20308.50764,3883314.00000,-0.85253,-0.85253,1941656.57400,24300000000000000000.00000,133.00000,374.41369,28433.90097,5646585.00000,-0.65154,-0.65154,2823292.17400,98100000000000000000.00000,25285.77679,17336.22321,25207.96875,3.54143,3.57635,0.24557,7.32647,0.47843,0.47843,3.90245,0.55986,2.42804,2.14767,0.34791,6.60539,0.12794,0.12794,3.36667,0.90623,3.53053,3.52463,0.20343,7.71422,0.07059,0.07059,3.89240,0.51130
51.00000,-224.28032,9916.75538,2068978.00000,2.21040,2.21040,1034490.10500,1850000000000000000.00000,51.00000,-75.77516,9155.79492,1990947.00000,1.15693,1.15693,995474.07850,1420000000000000000.00000,49.00000,-54.62287,8723.58312,1875415.00000,-0.42494,-0.42494,937707.28750,1160000000000000000.00000,9236.50893,8888.15625,8372.38839,1.29363,1.17525,0.13804,3.45245,0.41569,0.56471,1.93407,0.02176,1.24484,1.23701,0.08725,3.16814,0.45147,0.93529,1.80980,0.00373,1.17260,1.13934,0.08945,2.92010,0.42843,0.42843,1.67426,0.00446
149.00000,3.29249,20690.83694,4234871.00000,0.24647,0.24647,2117435.62300,35000000000000000000.00000,140.00000,57.88007,12444.29434,1975427.00000,0.41054,0.41054,987713.70530,2300000000000000000.00000,150.00000,-224.38731,19688.44556,3936012.00000,1.00818,1.00818,1968006.50400,26600000000000000000.00000,18905.67411,8818.87054,17571.48214,2.64785,2.69681,0.30323,6.45686,0.35490,0.35490,3.40588,0.48893,1.23514,0.66250,0.41168,6.81520,0.08137,0.14510,3.44828,0.67013,2.46099,2.50123,0.28942,6.45343,0.38578,0.38578,3.41961,0.49705
