Red,Green,Blue,Gray_Average,Gray_Median,Gray_SD,Gray_Max,Gray_Min,Gray_Skewness,Gray_Kurtusis,Gray_IQR,Area_Mean,Area_SD,BoundingBox_Mean,BoundingBox_SD,BoundingBox_Skewness,BoundingBox_Kurtusis,Eccentricity_Mean,Eccentricity_SD,FilledArea_Mean,FilledArea_SD,Area,Entropy,Above_Red,Above_Green,Above_Blue,Below_Red,Below_Green,Below_Blue,Target
95.23216,82.68433,55.13348,0.04897,0,0.04571,1,0,0.37116,3.80599,0,7835,0,199.75,228.91938,0,1,0.59561,0,9076,0,160000,0.282,71888,88112,85164,74836,65182,94818,0
70.7415,55.67922,33.82264,0.04015,0,0.05321,1,0,2.27142,23.80531,0,6424,0,199.75,228.91938,0,1,0.37732,0,6569,0,160000,0.24298,45348,114652,78815,81185,70653,89347,0
109.20782,87.38743,22.00373,0.03333,0,0.0598,1,0,0.82573,4.85293,0,5333,0,198.75,216.59351,0.00187,1.01382,0.59264,0,6375,0,160000,0.21083,70321,89679,67167,92833,54787,105213,0
68.86606,61.39062,37.95064,0.02791,0,0.04744,1,0,2.96248,75.02682,0,4466,0,199.75,228.91938,0,1,0.37972,0,8600,0,160000,0.18381,63030,96970,64500,95500,49962,110038,0
125.98959,113.9423,102.67308,0.01788,0,0.06301,1,0,0.35399,2.38144,0,2861,0,199.75,219.32415,0,1.00799,0.51287,0,2861,0,160000,0.12937,78891,81109,73939,86061,69426,90574,0
112.37473,97.84196,44.78608,0.05301,0,0.03479,1,0,0.95828,8.13348,0,8482,0,199,228.05665,0.00009,1.00012,0.56307,0,8723,0,160000,0.29906,79036,80964,90915,69085,66565,93435,0
99.80421,80.38981,39.90216,0.04714,0,0.08019,1,0,2.04754,7.15554,0,7542,0,199.75,228.91938,0,1,0.67251,0,7772,0,160000,0.27411,57383,102617,82798,77202,66365,93635,0
101.60044,95.80523,38.1633,0.04131,0,0.04512,1,0,2.09518,146.65605,0,6609,0,198.75,227.77054,0.00015,1.00021,0.309,0,6772,0,160000,0.24825,61887,98113,71467,88533,55034,104966,0
133.71063,70.74652,35.86206,0.04559,0,0.04231,1,0,2.29771,13.35795,0,7294,0,199.75,228.91938,0,1,0.4036,0,7419,0,160000,0.26735,77980,82020,59412,100588,48035,111965,0
97.45262,86.0621,51.43346,0.05019,0,0.04466,1,0,1.56874,8.4489,0,8030,0,197.5,226.35113,0.00079,1.00105,0.5857,0,8168,0,160000,0.28719,75806,84194,71371,88629,65016,94984,0
128.56192,128.52144,83.50978,0.03056,0,0.03627,1,0,1.02135,8.14315,0,4890,0,199.75,213.8997,0,1.02113,0.80716,0,4971,0,160000,0.1972,79488,80512,89491,70509,68507,91493,0
128.81309,100.30737,88.61526,0.0229,0,0.04181,1,0,2.29563,19.7861,0,3664,0,199.75,219.87591,0,1.00705,0.76233,0,3908,0,160000,0.15743,84985,75015,86594,73406,80845,79155,0
103.86269,69.76919,69.3755,0.04545,0,0.035,1,0,1.23044,8.9068,0,7272,0,199.75,222.65912,0,1.00325,0.68439,0,7733,0,160000,0.26675,52325,107675,83277,76723,70303,89697,0
107.79088,92.76467,68.68824,0.0354,0,0.04005,1,0,1.93131,24.36847,0,5664,0,199.5,228.63107,0.00001,1.00001,0.46431,0,5676,0,160000,0.22079,67733,92267,72697,87303,66498,93502,0
91.07263,69.75444,43.21923,0.05124,0,0.03869,1,0,1.43496,7.98402,0,8198,0,199.75,228.91938,0,1,0.53452,0,8929,0,160000,0.29163,59277,100723,69974,90026,55718,104282,0
119.04951,133.93999,38.42186,0.02751,0,0.03951,1,0,0.47371,4.43583,0,4402,0,199.75,228.91938,0,1,0.74382,0,4479,0,160000,0.18176,47559,112441,92615,67385,63398,96602,0
112.47459,114.09437,40.55158,0.04369,0,0.05837,1,0,1.18055,8.02319,0,6991,0,199.75,217.67885,0,1.01122,0.35701,0,7304,0,160000,0.25898,51021,108979,82580,77420,64176,95824,0
113.62519,111.45916,38.43354,0.02844,0,0.04352,1,0,1.96022,32.0145,0,4550,0,199.75,214.97073,0,1.01795,0.76942,0,4649,0,160000,0.18649,42094,117906,86485,73515,75720,84280,0
90.11959,91.6572,56.09651,0.05044,0,0.04875,1,0,1.74592,11.78651,0,8070,0,199.75,228.91938,0,1,0.56569,0,8180,0,160000,0.28825,57085,102915,67386,92614,55405,104595,0
81.85041,78.15915,44.16875,0.06964,0,0.04559,1,0,0.22259,3.7647,0,11143,0,199.75,228.91938,0,1,0.54185,0,11907,0,160000,0.36459,62382,97618,70911,89089,50653,109347,0
126.61736,118.54054,84.34178,0.09282,0,0.04263,1,0,0.38151,3.41442,0,14851,0,199.75,228.91938,0,1,0.29994,0,15053,0,160000,0.44581,77437,82563,86089,73911,78858,81142,0
79.12676,65.08948,50.20661,0.04333,0,0.05078,1,0,2.94742,37.47442,0,6932,0,199.75,228.91938,0,1,0.70791,0,6950,0,160000,0.25733,59797,100203,83087,76913,80778,79222,0
